HeatNo,Grade,StartDate,Crew
19187,A100C,09/15/2018,Team 3
19188,LOWO2BPF,09/15/2018,Team 1
19189,LOWO2B,09/16/2018,Team 1
19190,LOWO2B,09/16/2018,Team 1
19191,LOWO2B,09/16/2018,Team 1
19192,LOWO2B,09/16/2018,Team 1
19193,LOWO2B,09/16/2018,Team 1
19194,LOWO2BPF,09/16/2018,Team 1
19195,LOWO2BPF,09/16/2018,Team 2
19196,LOWO2BPF,09/16/2018,Team 2
19197,LOWO2BPF,09/16/2018,Team 2
19198,LOWO2BPF,09/16/2018,Team 2
19199,LOWO2BPF,09/16/2018,Team 2
19200,LOWO2BPF,09/16/2018,Team 2
19201,LOWO2_85HP,09/16/2018,Team 2
19202,LOWO2_85HP,09/16/2018,Team 2
19203,LOWO2_85HP,09/16/2018,Team 3
19204,LOWO2_85HP,09/16/2018,Team 3
19205,LOWO2_85HP,09/16/2018,Team 3
19206,LOWO2_85HP,09/16/2018,Team 3
19207,LOWO2_85HP,09/16/2018,Team 3
19208,LOWO2BPF,09/16/2018,Team 3
19209,LOWO2B,09/16/2018,Team 1
19210,LOWO2B,09/16/2018,Team 1
19211,LOWO2B,09/17/2018,Team 1
19212,LOWO2B,09/17/2018,Team 1
19213,LOWO2B,09/17/2018,Team 1
19214,LOWO2BPF,09/17/2018,Team 1
19215,LOWO2A100,09/17/2018,Team 1
19216,LOWO2A100,09/17/2018,Team 1
19217,LOWO2A100,09/17/2018,Team 2
19218,LOWO2BPF,09/17/2018,Team 2
19219,LOWO2BPF,09/17/2018,Team 2
19220,LOWO2BPF,09/17/2018,Crew
19221,LOWO2BPF,09/17/2018,Team 3
19222,LOWO2BPF,09/17/2018,Team 3
19223,LOWO2BPF,09/17/2018,Team 3
19224,LOWO2BPF,09/17/2018,Team 1
19225,LOWO2BPF,09/18/2018,Team 1
19226,LOWO2BPF,09/18/2018,Team 1
19227,LOWO2BPF,09/18/2018,Team 1
19228,LOWO2BPF,09/18/2018,Team 1
19229,LOWO2B,09/18/2018,Team 1
19230,LOWO2B,09/18/2018,Team 2
19231,LOWO2B,09/18/2018,Team 2
19232,LOWO2B,09/18/2018,Team 2
19233,LOWO2B,09/18/2018,Team 2
19234,LOWO2B,09/18/2018,Team 2
19235,LOWO2B,09/18/2018,Team 2
19236,LOWO2BPF,09/18/2018,Team 2
19237,LOWO2A100,09/18/2018,Team 3
19238,LOWO2A100,09/18/2018,Team 3
19239,LOWO2A100,09/18/2018,Team 3
19240,LOWO2A100,09/18/2018,Team 3
19241,LOWO2A100,09/18/2018,Team 3
19242,LOWO2BPF,09/18/2018,Team 3
19243,A100C,09/18/2018,Team 1
19244,A100C,09/18/2018,Team 1
19245,A100C,09/19/2018,Team 1
19246,LOWO2BPF,09/19/2018,Team 1
19247,LOWO2BPF,09/19/2018,Team 1
19248,LOWO2BPF,09/19/2018,Team 1
19249,LOWO2BPF,09/19/2018,Team 1
19250,LOWO2BPF,09/19/2018,Team 1
19251,LOWO2BPF,09/19/2018,Team 2
19252,LOWO2BPF,09/19/2018,Team 2
19253,LOWO2_85HP,09/19/2018,Team 2
19254,LOWO2_85HP,09/19/2018,Team 2
19255,LOWO2_85HP,09/19/2018,Team 2
19256,LOWO2_85HP,09/19/2018,Team 2
19257,LOWO2BPF,09/19/2018,Team 2
19258,150HP,09/19/2018,Team 3
19259,150HP,09/19/2018,Team 3
19260,150HP,09/19/2018,Team 3
19261,A100X,09/19/2018,Team 3
19262,LOWO2A100,09/19/2018,Team 3
19263,LOWO2A100,09/19/2018,Team 1
19264,LOWO2A100,09/19/2018,Team 1
19265,LOWO2A100,09/20/2018,Team 1
19266,LOWO2A100,09/20/2018,Team 1
19267,LOWO2BPF,09/20/2018,Team 1
19268,LOWO2BPF,09/20/2018,Team 1
19269,LOWO2BPF,09/20/2018,Team 1
19270,LOWO2BPF,09/20/2018,Team 1
19271,LOWO2BPF,09/20/2018,Team 2
19272,LOWO2BPF,09/20/2018,Team 2
19273,LOWO2BPF,09/20/2018,Team 2
19274,LOWO2BPF,09/20/2018,Team 2
19275,LOWO2BPF,09/20/2018,Team 2
19276,LOWO2_85HP,09/20/2018,Team 2
19277,LOWO2_85HP,09/20/2018,Team 2
19278,LOWO2_85HP,09/20/2018,Team 3
19279,LOWO2B,09/20/2018,Team 3
19280,150HP,09/20/2018,Team 3
19281,150HP,09/20/2018,Team 3
19282,150HP,09/20/2018,Team 1
19283,150HP,09/20/2018,Team 1
19284,LOWO2B,09/21/2018,Team 1
19285,LOWO2A100,09/21/2018,Team 1
19286,LOWO2A100,09/21/2018,Team 1
19287,LOWO2A100,09/21/2018,Team 1
19288,LOWO2BPF,09/21/2018,Team 1
19289,LOWO2B,09/21/2018,Team 1
